ID;Keyword;Minimal Keyword;Pesan;Send;ID Pesan;Gambar
1;cara mendaftar daftar online it telkom;5;Untuk tahapan pendaftaranya bisa dilihat pada gambar dibawah kak;No;;https://i.ibb.co/R0wdTDb/caradaftar.png;
2;mendaftar daftar;1;Mungkin yang kaka maksud:<>Cara mendaftar online IT Telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;1;null;
3;seleksi bagaimana tahapan seleksinya tahapanya;2;Jadi untuk tahapan seleksinya seperti ini kak:<><>1. Jalur Prestasi Siswa (JSA) merupakan jalur seleksi penerimaan mahasiswa baru di Institut Teknologi Telkom Purwokerto (ITTP) yang menekankan pada seleksi melalui nilai rapor atau nilai SBMPTN.<><>2. Jalur ini dibuka mulai 3 Juli sampai 31 Agustus 2019. Merupakan jalur pendaftaran TERAKHIR untuk tahun akademik 2019/2020.<><>3. Pendaftar bisa memilih salah satu model seleksi yakni menggunakan nilai rapor atau nilai SBMPTN. Bagi pendaftar yang mengikuti SBMPTN sangat dianjurkan untuk mengikuti seleksi menggunakan nilai SBMPTN.<><>4. Untuk seleksi rapor, yang digunakan adalah nilai rapor semester 1 â€“ 5 dengan nilai rata-rata minimal 7,5 untuk mata pelajaran Matematika, Bahasa Indonesia, dan Bahasa Inggris. Sedangkan untuk nilai SBMPTN, passing grade yang digunakan adalah 451.<><>5. Biaya pendaftaran untuk Jalur Seleksi Akhir (JSA) ini sebesar 250.000 untuk 1 model seleksi: nilai rapor atau nilai SBMPTN. Apabila pendaftar ingin mengambil 2 model seleksi karena khawatir tidak lolos di salah satu model seleksi, maka harus mendaftar 2 kali sekaligus atau secara bergantian.<><>6. Bagi pendaftar yang mengikuti seleksi menggunakan nilai rapor dan menginginkan beasiswa, maka dapat mengajukan beasiswa dengan catatan memiliki prestasi di tingkat regional maupun nasional, baik prestai di bidang akademik maupun non akademik. Dengan demikian, di jalur ini beasiswa tidak dapat diberikan kepada pendaftar yang hanya memiliki nilai rapor (tidak memiliki prestasi).<><>7. Pendaftar yang mengikuti SBMPTN 2 kali, diperkenankan untuk menggunakan hasil nilai SBMPTN yang tertinggi (Bukti nilai di upload di web pendaftaran).<><>8. Pendaftaran dapat dilakukan melalui 3 cara: (1) Melalui Guru BK di sekolah, (2) Datang langsung ke Sekretariat PMB ITTP Jl. DI. Panjaitan No. 128 Purwokerto, (3) Mendaftar secara online melalui http://pmb.ittelkom-pwt.ac.id;No;;null;
4;seleksi seleksinya;1;Mungkin yang anda maksud:<>Bagaimana tahapan seleksinya?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;3;null;
5;program studi it telkom jurusan apa saja jurusanya studinya;5;Untuk program studi yang ada di IT Telkom Purwokerto yaitu sebagai gambar dibawah ini kak;No;;https://i.ibb.co/NmzqQbL/programstudi.png;
6;jurusan program studi;2;Mungkin yang anda maksud:<>Apa saja program studi yang ada di IT Telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;5;null;
7;biaya semester berapa per persemester;3;Jadi untuk biaya per semesternya kak dapat dilihat dari gambar dibawah.;No;;https://i.ibb.co/rxQ4ntr/biayasemester.png;
8;semester semesteran;1;Mungkin yang anda maksud:<>Berapa biaya per semester?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;7;null;
9;kampus it telkom adalah apa itu bagaimana;4;Jadi kak, Institut Teknologi Telkom Purwokerto (ITTP) adalah perguruan tinggi di bawah naungan Yayasan Pendidikan Telkom yang didukung kerjasama dengan 22 Perguruan Tinggi luar negeri.<>Beberapa keunggulan Institut Teknologi Telkom Purwokerto diantaranya:<>- Pertama dan satu-satunya Institut Teknologi di Jawa Tengah.<>- Mendapatkan dukungan penuh dari Telkom Group<>- Menerapkan pola Link and Match dengan industri ICT<>- Sertifikasi program CCNA NIIT, TOEFL, dan TOEIC untuk mahasiswa<>- terbukti bahwa 83% lulusannya telah bekerja sebelum wisuda<>- Menerapkan sistem manajemen mutu standar Internasional ISO 9001:2015.;No;;null;
10;kampus telkom adalah;2;Mungkin yang anda maksud:<>Apa itu kampus it telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;9;null;
11;visi misi kampus it telkom;5;Untuk Visi dan Misi Kampus IT Telkom Purwokerto adalah sebagai berikut:<><>A. Visi<>Menjadi perguruan tinggi yang unggul dalam pengembangan sains, teknologi dan teknik berbasis teknologi telematika dan membentuk insan yang berkarakter.Menjadi perguruan tinggi yang unggul dalam pengembangan sains, teknologi dan teknik berbasis teknologi telematika dan membentuk insan yang berkarakter.<><>B. Misi<>1. Menyelenggarakan dan mengembangkan pendidikan berbasis teknologi telematika yang berkualitas dan pembentukan karakter yang unggul.<>2. Mengembangkan riset dan menyebarluaskan sains, teknologi dan teknik yang terkini<>3. Menerapkan dan memanfaatkan sains, teknologi dan teknik bagi kemaslahatan masyarakat.<>4. Mengembangakan tatakelola berbasis best practices dan menjalin kerjasama yang berkualitas dengan institusi pendidikan, pemerintah dan dunia industri di dalam dan luar negeri.;No;;null;
12;visi misi kampus;3;Mungkin yang anda maksud:<>Apa visi misi kampus it telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;11;null;
13;ukm unit kegiatan mahasiswa apa saja ada it telkom;6;Untuk UKM disini macam-macam kak, berikut daftarnya:<><>1. UKM Bulu Tangkis<>2. UKM Bola Basket<>3. UKM Tennis Meja<>4. UKM Jujitsu<>5. UKM Catur<>6. UKM Volley Ball<>7. UKM Futsal<>8. UKM Wapala<>9. UKM Manggala<>10. UKM Racana<>11. Paduan Suara Telkomnica Voice<>12. Seksi Kerohanian Islam (SKI)<>13. Persekutuan Mahasiswa Kristen<>14. Keluarga Mahasiswa Katholik<>15. Keluarga Mahasiswa Hindu Saraswati<>16. UKM Merpati Putih<>17. UKM Musik & Tari<>18. UKM Karate<>19. UKM Astralic<>20. UKM Fotografi<> 21. UKM IPTEK.;No;;null;
14;ukm unit kegiatan mahasiswa telkom;2;Mungkin yang anda maksud:<>Apa saja unit kegiatan mahasiswa di kampus it telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;13;null;
15;fasilitas kampus tersedia it telkom;4;Untuk fasilitas kami lengkap kak, berikut daftarnya:<><>1.	Ruang Kelas Full AC<>2.	Laboratorium Bahasa dan Multimedia<>3.	Laboratorium Teknik Elektronika<>4.	Laboratorium Audio Video<>5. Laboratorium Teknik Elektro dan Digital<>6. Laboratorium VSAT<>7. Laboratorium Switching<>8. Laboratorium Transmisi<>9. Laboratorium Komputer Aplikasi<>10. Laboratorium Komputer Jaringan<>11. Perpustakaan<>12. Kantin Terpadu<>13. Masjid<>14. Sarana Olahraga<>15.	Auditorium<>16.	Hotspot up to 5 x 100 Mbps<>17.	Radio Kampus<>18. Gazebo Tempat Belajar<>19. Koperasi<>20. Ruang Gym<>21. Klinik Kesehatan<>22.	Dan lain-lain.;No;;null;
16;fasilitas kampus;2;Mungkin yang anda maksud:<>Apa saja fasilitas yang tersedia di kampus it telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;15;null;
17;tempat umum sarana public terdekat disekitar sekitar it telkom;5;Tenang kak, disekitar Kampus IT Telkom banyak sarana public diantaranya:<>1. Terminal Bus<>2. Restaurant<>3. Cafe<>4. Supermarket<>5. Tempat Ibadah<>6.	Tempat Olahraga<>7.	Rumah Sakit<>8.	Apotek<>9.	Kos/Asrama;No;;null;
18;disekitar tempat umum sarana public;3;Mungkin yang anda maksud:<>Apa saja sarana publik yang ada disekitar kampus it telkom?<><>jika benar ketik 'ya' tanpa tanda petik ya kak.;Yes;17;null;

